시군구명,주관 부서,,민원접수건수
수원시,안전교통국,도로과,916
수원시,안전교통국,시민안전과,52
수원시,영통구,가정복지과,14075
수원시,영통구,건설과,819
수원시,영통구,건축과,2122
수원시,영통구,경제교통과,3261
수원시,영통구,광교1동,2496
수원시,영통구,광교2동,1022
수원시,영통구,매탄1동,702
수원시,영통구,매탄2동,505
수원시,영통구,매탄3동,1956
수원시,영통구,매탄4동,993
수원시,영통구,사회복지과,2093
수원시,영통구,생활안전과,23
수원시,영통구,세무과,673
수원시,영통구,안전건설과,651
수원시,영통구,영통1동,1745
수원시,영통구,영통2동,1837
수원시,영통구,원천동,1862
수원시,영통구,종합민원과,5882
수원시,영통구,태장동,3613
수원시,영통구,행정지원과,257
수원시,영통구,환경위생과,2986
수원시,영통구보건소,,1
수원시,영통구보건소,보건행정과,1913
수원시,일자리경제국,기업지원과,778
수원시,일자리경제국,생명산업과,1082
수원시,일자리경제국,일자리정책과,71
수원시,일자리경제국,지역경제과,270
수원시,일자리경제국,회계과,12
수원시,장안구,가정복지과,8966
수원시,장안구,건설과,833
수원시,장안구,건축과,2857
수원시,장안구,경제교통과,3131
수원시,장안구,사회복지과,3356
수원시,장안구,생활안전과,487
수원시,장안구,세무과,584
수원시,장안구,송죽동,616
수원시,장안구,안전건설과,148
수원시,장안구,연무동,731
수원시,장안구,영화동,797
수원시,장안구,율천동,1948
수원시,장안구,정자1동,904
수원시,장안구,정자2동,876
수원시,장안구,정자3동,1159
수원시,장안구,조원1동,982
수원시,장안구,조원2동,531
수원시,장안구,종합민원과,4566
수원시,장안구,파장동,995
수원시,장안구,행정지원과,374
수원시,장안구,환경위생과,2152
수원시,장안구보건소,보건행정과,1513
수원시,체납세징수단,,1
수원시,팔달구,가정복지과,5518
수원시,팔달구,건축과,2777
수원시,팔달구,경제교통과,3553
수원시,팔달구,고등동,978
수원시,팔달구,매교동,418
수원시,팔달구,매산동,632
수원시,팔달구,사회복지과,3600
수원시,팔달구,세무과,256
수원시,팔달구,안전건설과,1570
수원시,팔달구,우만1동,986
수원시,팔달구,우만2동,766
수원시,팔달구,인계동,2414
수원시,팔달구,종합민원과,6925
수원시,팔달구,지동,442
수원시,팔달구,행궁동,371
수원시,팔달구,행정지원과,339
수원시,팔달구,화서1동,777
수원시,팔달구,화서2동,766
수원시,팔달구,환경위생과,3270
수원시,팔달구보건소,,2
수원시,팔달구보건소,보건행정과,1485
수원시,화성사업소,문화유산관리과,9
수원시,화성사업소,문화유산시설과,16
수원시,환경국,기후대기과,621
수원시,환경국,수질환경과,597
수원시,환경국,위생정책과,3139
수원시,환경국,자원순환과,3847
수원시,환경국,하수관리과,257
수원시,환경국,환경정책과,115
수원시,환경사업소,기술담당관,1
수원시,365민원담당관,,1405
수원시,감사관,,37
수원시,경제정책국,세정과,1
수원시,경제정책국,회계과,2
수원시,공보관,,18
수원시,공원녹지사업소,공원관리과,29
수원시,공원녹지사업소,녹지경관과,46
수원시,공원녹지사업소,생태공원과,70
수원시,권선구,가정복지과,10158
수원시,권선구,건설과,406
수원시,권선구,건축과,3696
수원시,권선구,경제교통과,5465
수원시,권선구,곡선동,1517
수원시,권선구,구운동,808
수원시,권선구,권선1동,1189
수원시,권선구,권선2동,1472
수원시,권선구,금호동,2160
수원시,권선구,사회복지과,5738
수원시,권선구,서둔동,1299
수원시,권선구,세류1동,596
수원시,권선구,세류2동,940
수원시,권선구,세류3동,710
수원시,권선구,세무과,1269
수원시,권선구,안전건설과,1280
수원시,권선구,입북동,510
수원시,권선구,종합민원과,6382
수원시,권선구,평동,1110
수원시,권선구,행정지원과,491
수원시,권선구,환경위생과,3218
